trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
141,False,"{'a': 0.01, 'e': 0.0842151921066519}",20,15,9.328714466256393,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.08391813582966891}",25,0,24.631236305920147,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
143,False,"{'a': 0.01, 'e': 0.08362420100070908}",20,11,15.731899229233482,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.08333333333333333}",20,0,27.87915068313665,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.08304547985373997}",20,0,12.938029132318329,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
146,False,"{'a': 0.01, 'e': 0.0827605888602368}",30,8,-19.47220084479477,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
147,False,"{'a': 0.01, 'e': 0.08247860988423225}",25,11,-15.039294064348223,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
148,False,"{'a': 0.01, 'e': 0.08219949365267865}",25,1,-10.760519416263902,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
149,False,"{'a': 0.01, 'e': 0.08192319205190406}",25,18,10.762448261852064,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.08164965809277261}",20,8,-12.06327914645872,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.08137884587711594}",30,5,0.5359482276826091,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",1
152,False,"{'a': 0.01, 'e': 0.08111071056538127}",30,6,25.8008681705301,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.08084520834544433}",20,7,17.50470302939604,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.08058229640253803}",20,12,-13.522127832643699,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
